date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:12	21143/21143	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5d-5297%22	https://powerupsolarengineering.com/js/plugins/jquery.magnific-popup.min.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/plugins/jquery.magnific-popup.min.js	(from https://powerupsolarengineering.com/index.html)
18:24:12	6949/6949	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5d-1b25%22	https://powerupsolarengineering.com/js/plugins/imagesloaded.pkgd.min.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/plugins/imagesloaded.pkgd.min.js	(from https://powerupsolarengineering.com/index.html)
18:24:13	40863/40863	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5c-9f9f%22	https://powerupsolarengineering.com/js/plugins/isotope.pkgd.min.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/plugins/isotope.pkgd.min.js	(from https://powerupsolarengineering.com/index.html)
18:24:13	15509/15509	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5c-3c95%22	https://powerupsolarengineering.com/js/custom.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/custom.js	(from https://powerupsolarengineering.com/index.html)
18:24:13	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a99a332-24a3%22	https://powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.eot	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.eot	(from https://powerupsolarengineering.com/css/plugins/bootstrap.min.css)
18:24:13	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a99a332-24a3%22	https://powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.eot?	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/css/fonts/glyphicons-halflings-regulard41d.eot	(from https://powerupsolarengineering.com/css/plugins/bootstrap.min.css)
18:24:14	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a99a332-24a3%22	https://powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.woff2	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.woff2	(from https://powerupsolarengineering.com/css/plugins/bootstrap.min.css)
18:24:14	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a99a332-24a3%22	https://powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.woff	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.woff	(from https://powerupsolarengineering.com/css/plugins/bootstrap.min.css)
18:24:14	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a99a332-24a3%22	https://powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.ttf	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.ttf	(from https://powerupsolarengineering.com/css/plugins/bootstrap.min.css)
18:24:15	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a99a332-24a3%22	https://powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.svg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/css/fonts/glyphicons-halflings-regular.svg	(from https://powerupsolarengineering.com/css/plugins/bootstrap.min.css)
